seed,method,scope,facility,geometry,recall,precision,f1,auroc,margin_auroc,false_positive_rate
1,B3,seen,harsh,__all__,0.3472222222222222,0.21052631578947367,0.38461538461538464,0.15866126543209869,0.15866126543209869,-0.027777777777777776
1,P1,seen,harsh,__all__,0.375,0.2267441860465116,0.4043478260869565,0.15866126543209869,0.15904706790123457,-0.02777777777777778
1,B1,seen,harsh,central_furniture,0.41666666666666663,0.16666666666666663,0.43589743589743596,0.23784722222222232,0.23784722222222232,-0.020833333333333332
1,B2,seen,harsh,central_furniture,0.6666666666666666,0.4,0.6768243785084203,0.15798611111111105,0.15798611111111105,-0.041666666666666664
1,B3,seen,harsh,central_furniture,0.5416666666666666,0.25,0.5857142857142857,0.15798611111111105,0.15798611111111105,-0.020833333333333332
1,P1,seen,harsh,central_furniture,0.5833333333333334,0.4,0.6223717409587889,0.15798611111111105,0.15885416666666663,-0.041666666666666664
1,B1,seen,harsh,clear,0.45833333333333337,0.25,0.40909090909090906,0.22048611111111105,0.22048611111111105,-0.0625
1,B2,seen,harsh,clear,0.5833333333333334,0.20238095238095233,0.5138888888888888,0.13454861111111116,0.13454861111111116,-0.020833333333333332
1,B3,seen,harsh,clear,0.45833333333333337,0.25,0.4542682926829268,0.13454861111111116,0.13454861111111116,-0.041666666666666664
1,P1,seen,harsh,clear,0.45833333333333337,0.19444444444444442,0.43452380952380953,0.13454861111111116,0.13454861111111116,-0.020833333333333332
1,B1,seen,harsh,vertical_mid,0.2916666666666667,,0.45161290322580644,0.15364583333333337,0.15364583333333337,0.0
1,B2,seen,harsh,vertical_mid,0.16666666666666669,0.1428571428571429,0.2011385199240987,0.17013888888888895,0.17013888888888895,-0.020833333333333332
1,B3,seen,harsh,vertical_mid,0.041666666666666685,0.1428571428571429,0.06451612903225806,0.17013888888888895,0.17013888888888895,-0.020833333333333332
1,P1,seen,harsh,vertical_mid,0.08333333333333331,0.1428571428571429,0.11290322580645162,0.17013888888888895,0.17013888888888895,-0.020833333333333332
1,B1,seen,standard,__all__,0.125,0.1875,0.19736842105263158,0.1771797839506173,0.1771797839506173,0.020833333333333336
1,B2,seen,standard,__all__,0.08333333333333334,0.4615384615384615,0.14117647058823532,0.1366705246913581,0.1366705246913581,-0.041666666666666664
1,B3,seen,standard,__all__,0.16666666666666669,0.26373626373626374,0.22781205505458,0.1366705246913581,0.1366705246913581,0.0
1,P1,seen,standard,__all__,0.18055555555555555,0.33538461538461534,0.2534869617950273,0.1366705246913581,0.13290895061728403,-0.006944444444444441
1,B1,seen,standard,central_furniture,0.16666666666666666,,0.27586206896551724,0.16493055555555558,0.16493055555555558,0.020833333333333332
1,B2,seen,standard,central_furniture,0.20833333333333334,0.8333333333333334,0.3333333333333333,0.13541666666666663,0.13541666666666663,-0.04166666666666667
1,B3,seen,standard,central_furniture,0.375,0.8181818181818182,0.5142857142857142,0.13541666666666663,0.13541666666666663,-0.020833333333333336
1,P1,seen,standard,central_furniture,0.3333333333333333,0.8,0.47058823529411764,0.13541666666666663,0.13107638888888884,-0.020833333333333336
1,B1,seen,standard,clear,0.125,0.2142857142857143,0.17972350230414746,0.16927083333333337,0.16927083333333337,0.0
1,B2,seen,standard,clear,0.04166666666666667,0.35,0.07635467980295566,0.10677083333333326,0.10677083333333326,-0.04166666666666667
1,B3,seen,standard,clear,0.16666666666666669,0.2666666666666666,0.22570532915360503,0.10677083333333326,0.10677083333333326,0.0
1,P1,seen,standard,clear,0.20833333333333337,0.29999999999999993,0.2738336713995943,0.10677083333333326,0.10677083333333326,0.0
1,B1,seen,standard,vertical_mid,0.08333333333333333,,0.14285714285714285,0.19618055555555558,0.19618055555555558,0.041666666666666664
1,B2,seen,standard,vertical_mid,0.0,0.4,0.015325670498084282,0.140625,0.140625,-0.041666666666666664
1,B3,seen,standard,vertical_mid,-0.04166666666666666,-0.16666666666666663,-0.06666666666666665,0.140625,0.140625,0.020833333333333336
1,P1,seen,standard,vertical_mid,0.0,0.0,0.0,0.140625,0.140625,0.0
1,B1,unseen,__all__,__all__,0.25,0.09200438116100762,0.3573076116586286,0.20953125000000006,0.20953125000000006,0.025
1,B2,unseen,__all__,__all__,0.25,0.3510989010989011,0.3383254208027622,0.16335937499999997,0.16335937499999997,-0.01875
1,B3,unseen,__all__,__all__,0.2583333333333333,0.2915384615384615,0.33769765970904486,0.16335937499999997,0.16808159722222227,-0.002083333333333333
1,P1,unseen,__all__,__all__,0.24166666666666664,0.34253551326722054,0.3268000559073658,0.16335937499999997,0.15864583333333337,-0.016666666666666666
1,B1,unseen,__all__,horizontal_new,0.2708333333333333,,0.3880597014925373,0.21961805555555558,0.21961805555555558,0.0625
1,B2,unseen,__all__,horizontal_new,0.3125,0.36363636363636365,0.39999999999999997,0.15407986111111105,0.15407986111111105,-0.010416666666666664
1,B3,unseen,__all__,horizontal_new,0.3125,0.3540372670807454,0.3979513444302177,0.15407986111111105,0.15690104166666663,0.010416666666666671
1,P1,unseen,__all__,horizontal_new,0.25,0.30000000000000004,0.3277310924369748,0.15407986111111105,0.14539930555555547,0.0
1,B1,unseen,__all__,low_new,0.375,-0.011904761904761973,0.42007797270955166,0.21809895833333326,0.21809895833333326,0.04166666666666667
1,B2,unseen,__all__,low_new,0.3333333333333333,0.4350649350649351,0.43376623376623374,0.15646701388888895,0.15646701388888895,-0.010416666666666664
1,B3,unseen,__all__,low_new,0.3333333333333333,0.32608695652173914,0.42410015649452265,0.15646701388888895,0.1640625,0.010416666666666664
1,P1,unseen,__all__,low_new,0.3333333333333333,0.3975155279503106,0.4261203585147247,0.15646701388888895,0.1440972222222222,0.0
1,B1,unseen,__all__,two_new,0.22916666666666666,0.42307692307692313,0.3534426229508197,0.21571180555555558,0.21571180555555558,0.0
1,B2,unseen,__all__,two_new,0.2708333333333333,0.48235294117647054,0.38606676342525403,0.16319444444444442,0.16319444444444442,-0.010416666666666668
1,B3,unseen,__all__,two_new,0.3333333333333333,0.5473684210526315,0.46184173472261336,0.16319444444444442,0.16905381944444442,-0.020833333333333336
1,P1,unseen,__all__,two_new,0.3333333333333333,0.5473684210526315,0.46184173472261336,0.16319444444444442,0.1577690972222222,-0.020833333333333336
1,B1,unseen,__all__,vertical_new,0.14583333333333334,,0.25,0.16970486111111105,0.16970486111111105,0.010416666666666666
1,B2,unseen,__all__,vertical_new,0.10416666666666666,0.2222222222222222,0.15438596491228074,0.17057291666666663,0.17057291666666663,-0.020833333333333332
1,B3,unseen,__all__,vertical_new,0.04166666666666666,-0.007692307692307665,0.05370265686828715,0.17057291666666663,0.1796875,0.010416666666666664
1,P1,unseen,__all__,vertical_new,0.04166666666666666,0.20000000000000007,0.06896551724137931,0.17057291666666663,0.17122395833333337,-0.020833333333333336
1,B1,unseen,__all__,wide_new,0.22916666666666666,0.20000000000000007,0.33426704014939307,0.20334201388888895,0.20334201388888895,0.010416666666666666
1,B2,unseen,__all__,wide_new,0.22916666666666669,0.398989898989899,0.31176168464304055,0.15060763888888884,0.15060763888888884,-0.04166666666666667
1,B3,unseen,__all__,wide_new,0.2708333333333333,0.31818181818181823,0.3394673123486682,0.15060763888888884,0.14973958333333337,-0.020833333333333336
1,P1,unseen,__all__,wide_new,0.25,0.4019138755980861,0.3339236023273463,0.15060763888888884,0.15147569444444442,-0.04166666666666667
1,B1,unseen,harsh,__all__,0.35833333333333334,0.2727272727272727,0.47435382349002275,0.24312499999999992,0.24312499999999992,-0.0125
1,B2,unseen,harsh,__all__,0.38333333333333336,0.20116807268007797,0.43603455368161254,0.16447916666666662,0.16447916666666662,-0.008333333333333335
1,B3,unseen,harsh,__all__,0.25,0.2282608695652174,0.32788296041308085,0.16447916666666662,0.16447916666666662,-0.016666666666666666
1,P1,unseen,harsh,__all__,0.23333333333333334,0.23913043478260876,0.3044064369365574,0.16447916666666662,0.16451388888888885,-0.020833333333333336
1,B1,unseen,harsh,horizontal_new,0.3333333333333333,,0.5,0.2855902777777778,0.2855902777777778,0.0
1,B2,unseen,harsh,horizontal_new,0.41666666666666663,-0.0714285714285714,0.4619883040935673,0.18055555555555558,0.18055555555555558,0.020833333333333332
1,B3,unseen,harsh,horizontal_new,0.20833333333333337,0.0,0.2977667493796526,0.18055555555555558,0.18055555555555558,0.0
1,P1,unseen,harsh,horizontal_new,0.16666666666666669,0.0,0.22939068100358423,0.18055555555555558,0.18055555555555558,0.0
1,B1,unseen,harsh,low_new,0.5833333333333333,0.16666666666666663,0.5503875968992249,0.2309027777777778,0.2309027777777778,-0.020833333333333332
1,B2,unseen,harsh,low_new,0.5833333333333333,0.38888888888888884,0.6190476190476191,0.13454861111111116,0.13454861111111116,0.0
1,B3,unseen,harsh,low_new,0.375,0.25,0.462962962962963,0.13454861111111116,0.13454861111111116,0.0
