budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.05,P1_minus_B3,seen,harsh,clear,5,5,0.0,0.0,5,-0.03161049476838951,0.029358311611431022,5,-0.009285564634401843,0.01022456238397504,5,0.0,0.0,5,-0.0024305555555555803,0.002408756410679083,5,0.016666666666666666,0.017430417219459905
0.05,P1_minus_B3,seen,harsh,vertical_mid,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,-0.0008680555555555358,0.001063146589749628,5,0.004166666666666667,0.009316949906249124
0.05,P1_minus_B3,seen,standard,__all__,5,5,-0.01666666666666667,0.011620278146306603,5,-0.1638095238095238,0.10370680807360877,5,-0.030139090095866877,0.020714296629179584,5,0.0,0.0,5,-0.019039351851851894,0.01697676081926901,5,-0.01666666666666667,0.01261520980873955
0.05,P1_minus_B3,seen,standard,central_furniture,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.030208333333333347,0.025422322628887065,5,-0.0375,0.03090082702956526
0.05,P1_minus_B3,seen,standard,clear,5,5,-0.049999999999999996,0.03486083443891981,5,-0.2333333333333333,0.13693063937629152,5,-0.0819047619047619,0.055266823399825346,5,0.0,0.0,5,0.0038194444444444643,0.002500843800501358,5,-0.012499999999999999,0.01141088661469096
0.05,P1_minus_B3,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.039583333333333325,0.03282925975564167,5,0.0,0.0
0.05,P1_minus_B3,unseen,__all__,__all__,5,5,-0.0008333333333333318,0.009033118078616165,5,0.08354356256059041,0.0626205521544911,5,-0.0004327631271777599,0.01517621552079763,5,0.0,0.0,5,0.004828124999999961,0.0028278993178659745,5,-0.004166666666666666,0.0014731391274719742
0.05,P1_minus_B3,unseen,__all__,horizontal_new,5,5,-0.008333333333333333,0.018633899812498248,1,,,5,-0.014502404735479096,0.03242836282574611,5,0.0,0.0,5,0.037630208333333304,0.01652130028516102,5,0.0,0.0
0.05,P1_minus_B3,unseen,__all__,low_new,5,5,0.0,0.014731391274719736,5,0.13492063492063494,0.056855538693880325,5,0.00404121253486045,0.023650323418449096,5,0.0,0.0,5,0.009288194444444443,0.00687355308848231,5,-0.014583333333333334,0.005705443307345482
0.05,P1_minus_B3,unseen,__all__,two_new,5,5,0.0,0.0,5,0.11119047619047621,0.13697099846963484,5,0.0015221257552001182,0.0015191343317091338,5,0.0,0.0,5,0.007465277777777746,0.005542570409590981,5,-0.00625,0.00570544330734548
0.05,P1_minus_B3,unseen,__all__,vertical_new,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,0.008984375,0.00947384316455153,5,0.0,0.0
