budget,seed,method,scope,facility,geometry,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0.01,1,P1,seen,standard,clear,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.6163194444444444,0.6197916666666666
0.01,1,B1,seen,standard,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6380208333333334,0.6380208333333334
0.01,1,B2,seen,standard,vertical_mid,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5850694444444444,0.5850694444444444
0.01,1,B3,seen,standard,vertical_mid,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5850694444444444,0.5850694444444444
0.01,1,P1,seen,standard,vertical_mid,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5850694444444444,0.6137152777777778
0.01,1,B1,unseen,__all__,__all__,720,1,0,239,480,0.004166666666666667,1.0,0.008298755186721992,0.0,0.5821267361111111,0.5821267361111111
0.01,1,B2,unseen,__all__,__all__,720,5,2,235,478,0.020833333333333332,0.7142857142857143,0.04048582995951417,0.004166666666666667,0.6406336805555556,0.6406336805555556
0.01,1,B3,unseen,__all__,__all__,720,5,2,235,478,0.020833333333333332,0.7142857142857143,0.04048582995951417,0.004166666666666667,0.6406336805555556,0.6334722222222222
0.01,1,P1,unseen,__all__,__all__,720,5,2,235,478,0.020833333333333332,0.7142857142857143,0.04048582995951417,0.004166666666666667,0.6406336805555556,0.6405121527777777
0.01,1,B1,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.5642361111111112,0.5642361111111112
0.01,1,B2,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.6039496527777778,0.6039496527777778
0.01,1,B3,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.6039496527777778,0.5852864583333334
0.01,1,P1,unseen,__all__,horizontal_new,144,0,0,48,96,0.0,,0.0,0.0,0.6039496527777778,0.6130642361111112
0.01,1,B1,unseen,__all__,low_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.6241319444444444,0.6241319444444444
0.01,1,B2,unseen,__all__,low_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.6968315972222222,0.6968315972222222
0.01,1,B3,unseen,__all__,low_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.6968315972222222,0.6857638888888888
0.01,1,P1,unseen,__all__,low_new,144,1,0,47,96,0.020833333333333332,1.0,0.04081632653061224,0.0,0.6968315972222222,0.6944444444444444
0.01,1,B1,unseen,__all__,two_new,144,0,0,48,96,0.0,,0.0,0.0,0.5733506944444444,0.5733506944444444
0.01,1,B2,unseen,__all__,two_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.6486545138888888,0.6486545138888888
0.01,1,B3,unseen,__all__,two_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.6486545138888888,0.64453125
0.01,1,P1,unseen,__all__,two_new,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.6486545138888888,0.6521267361111112
0.01,1,B1,unseen,__all__,vertical_new,144,0,0,48,96,0.0,,0.0,0.0,0.6356336805555556,0.6356336805555556
0.01,1,B2,unseen,__all__,vertical_new,144,0,1,48,95,0.0,0.0,0.0,0.010416666666666666,0.6514756944444444,0.6514756944444444
0.01,1,B3,unseen,__all__,vertical_new,144,0,1,48,95,0.0,0.0,0.0,0.010416666666666666,0.6514756944444444,0.642578125
0.01,1,P1,unseen,__all__,vertical_new,144,0,1,48,95,0.0,0.0,0.0,0.010416666666666666,0.6514756944444444,0.6527777777777778
