budget,seed,scope,facility,geometry,method,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0.01,4,unseen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.003498263888888853,0.0
0.01,4,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.0625,0.0
0.01,4,unseen,__all__,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.009331597222222321,0.0
0.01,4,unseen,__all__,two_new,P1_minus_B3,0.0,,0.0,0.0,0.00021701388888883955,0.0
0.01,4,unseen,__all__,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.01605902777777779,0.0
0.01,4,unseen,__all__,wide_new,P1_minus_B3,0.0,,0.0,0.0,-0.02669270833333337,0.0
0.01,4,unseen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.002256944444444464,0.0
0.01,4,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.01822916666666674,0.0
0.01,4,unseen,harsh,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4,unseen,harsh,two_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,4,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,4,unseen,harsh,wide_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,4,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,0.00024305555555553804,0.0
0.01,4,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.09635416666666663,0.0
0.01,4,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,4,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.01822916666666674,0.0
0.01,4,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.03993055555555558,0.0
0.01,4,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,-0.05034722222222221,0.0
0.025,0,all,__all__,__all__,P1_minus_B3,0.010416666666666671,0.14814814814814814,0.019464720194647206,0.0,0.0019293891059027901,-0.005208333333333333
0.025,0,seen,__all__,__all__,P1_minus_B3,0.02083333333333333,0.10769230769230775,0.036293714697752666,0.0,0.0020495756172839164,-0.003472222222222222
0.025,0,seen,__all__,central_furniture,P1_minus_B3,0.04166666666666667,0.2333333333333334,0.07197763801537385,0.0,-0.0036892361111111605,-0.010416666666666666
0.025,0,seen,__all__,clear,P1_minus_B3,0.020833333333333343,0.02777777777777779,0.03132832080200501,0.0,-0.0006510416666666297,0.0
0.025,0,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.01519097222222221,0.0
0.025,0,seen,harsh,__all__,P1_minus_B3,0.04166666666666666,0.023076923076923106,0.06284074605451936,0.0,-0.0006751543209876365,0.0
0.025,0,seen,harsh,central_furniture,P1_minus_B3,0.08333333333333334,0.08333333333333337,0.11904761904761904,0.0,0.0,0.0
0.025,0,seen,harsh,clear,P1_minus_B3,0.041666666666666685,0.0,0.05161290322580642,0.0,-0.0017361111111111605,0.0
0.025,0,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.0008680555555555802,0.0
0.025,0,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.010223765432098797,-0.006944444444444444
0.025,0,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,-0.01996527777777779,-0.020833333333333332
0.025,0,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.00434027777777779,0.0
0.025,0,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.03385416666666663,0.0
0.025,0,unseen,__all__,__all__,P1_minus_B3,0.004166666666666666,0.20238095238095233,0.008561429821272337,0.0,0.0023697916666666208,-0.00625
0.025,0,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.01909722222222221,0.0
0.025,0,unseen,__all__,low_new,P1_minus_B3,0.02083333333333333,0.25,0.038461538461538464,0.0,0.0078125,-0.010416666666666666
0.025,0,unseen,__all__,two_new,P1_minus_B3,0.0,0.25,0.002262443438914019,0.0,0.009765625,-0.010416666666666666
0.025,0,unseen,__all__,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.00737847222222221,0.0
0.025,0,unseen,__all__,wide_new,P1_minus_B3,0.0,0.13333333333333341,0.0027952480782669487,0.0,-0.01063368055555547,-0.010416666666666666
0.025,0,unseen,harsh,__all__,P1_minus_B3,0.008333333333333331,0.007575757575757569,0.013994910941475813,0.0,-0.001979166666666643,0.0
0.025,0,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.01388888888888884,0.0
0.025,0,unseen,harsh,low_new,P1_minus_B3,0.04166666666666666,0.0,0.06349206349206349,0.0,0.0,0.0
0.025,0,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.025,0,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,-0.006354166666666661,-0.0125
0.025,0,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.03559027777777779,0.0
0.025,0,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.00868055555555558,-0.020833333333333332
0.025,0,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,0.00868055555555558,-0.020833333333333332
0.025,0,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.04340277777777768,0.0
0.025,0,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,-0.02430555555555558,-0.020833333333333332
0.025,1,all,__all__,__all__,P1_minus_B3,0.015625,0.04761904761904767,0.0279515761716409,0.0,0.005215115017361049,0.0013020833333333322
0.025,1,seen,__all__,__all__,P1_minus_B3,0.020833333333333343,0.02083333333333337,0.03493589743589745,0.0,0.003592785493827133,0.0034722222222222238
0.025,1,seen,__all__,central_furniture,P1_minus_B3,0.020833333333333336,0.08333333333333337,0.036953242835595784,0.0,0.00672743055555558,0.0
0.025,1,seen,__all__,clear,P1_minus_B3,0.02083333333333333,-0.04761904761904767,0.02870813397129185,0.0,0.0015190972222222099,0.010416666666666668
0.025,1,seen,__all__,vertical_mid,P1_minus_B3,0.020833333333333332,0.16666666666666663,0.038431372549019606,0.0,0.00954861111111116,0.0
0.025,1,seen,harsh,__all__,P1_minus_B3,0.041666666666666685,-0.08333333333333337,0.06190476190476191,0.0,-0.0003858024691357764,0.006944444444444444
0.025,1,seen,harsh,central_furniture,P1_minus_B3,0.04166666666666667,0.0,0.06837606837606836,0.0,0.0,0.0
0.025,1,seen,harsh,clear,P1_minus_B3,0.04166666666666666,-0.1428571428571429,0.0422691879866518,0.0,0.0,0.020833333333333332
0.025,1,seen,harsh,vertical_mid,P1_minus_B3,0.041666666666666664,0.0,0.07384615384615385,0.0,-0.0008680555555554692,0.0
0.025,1,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0005787037037037202,0.0
0.025,1,seen,standard,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.00347222222222221,0.0
0.025,1,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.025,1,seen,standard,vertical_mid,P1_minus_B3,0.0,0.0,0.0,0.0,0.006076388888888951,0.0
0.025,1,unseen,__all__,__all__,P1_minus_B3,0.012499999999999997,0.08333333333333337,0.023235800344234073,0.0,0.00658854166666667,0.0
0.025,1,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.01888020833333326,0.0
0.025,1,unseen,__all__,low_new,P1_minus_B3,0.041666666666666664,0.13333333333333341,0.07251202367739548,0.0,0.01019965277777779,0.0
0.025,1,unseen,__all__,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.00238715277777779,0.0
0.025,1,unseen,__all__,vertical_new,P1_minus_B3,0.020833333333333332,0.5,0.04,0.0,0.005642361111111049,0.0
0.025,1,unseen,__all__,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.00672743055555558,0.0
0.025,1,unseen,harsh,__all__,P1_minus_B3,0.024999999999999994,-0.09999999999999998,0.043223443223443236,0.0,-0.0001388888888889106,0.004166666666666667
0.025,1,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.0017361111111111605,0.0
0.025,1,unseen,harsh,low_new,P1_minus_B3,0.08333333333333333,-0.19999999999999996,0.12201591511936338,0.0,0.0,0.020833333333333332
0.025,1,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.025,1,unseen,harsh,vertical_new,P1_minus_B3,0.041666666666666664,,0.08,0.0,0.0,0.0
0.025,1,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.025,1,unseen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.0010416666666667185,-0.0041666666666666675
0.025,1,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.00694444444444442,0.0
0.025,1,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.004340277777777679,-0.020833333333333332
0.025,1,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,-0.0017361111111110494,0.0
0.025,1,unseen,standard,vertical_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0026041666666666297,0.0
0.025,1,unseen,standard,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0008680555555555802,0.0
0.025,2,all,__all__,__all__,P1_minus_B3,0.0026041666666666644,-0.011363636363636354,0.004563894523326575,0.0,-0.0063510470920138395,0.001302083333333334
0.025,2,seen,__all__,__all__,P1_minus_B3,0.006944444444444441,-0.011904761904761973,0.011522233041220381,0.0,-0.01634837962962965,0.0034722222222222203
0.025,2,seen,__all__,central_furniture,P1_minus_B3,0.02083333333333333,0.050000000000000044,0.0355587808417997,0.0,-0.01801215277777768,0.0
0.025,2,seen,__all__,clear,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0021701388888888395,0.0
0.025,2,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.00390625,0.010416666666666666
0.025,2,seen,harsh,__all__,P1_minus_B3,0.013888888888888881,-0.11111111111111116,0.01763668430335097,0.0,-0.0023148148148148806,0.013888888888888888
0.025,2,seen,harsh,central_furniture,P1_minus_B3,0.04166666666666666,0.050000000000000044,0.061576354679802964,0.0,0.0,0.0
0.025,2,seen,harsh,clear,P1_minus_B3,0.0,-0.13333333333333341,-0.009195402298850575,0.0,-0.0060763888888888395,0.020833333333333332
0.025,2,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.0,0.020833333333333332
0.025,2,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.043016975308642014,-0.006944444444444444
0.025,2,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,-0.07204861111111116,0.0
0.025,2,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.00347222222222221,-0.020833333333333336
0.025,2,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.06770833333333331,0.0
0.025,2,unseen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.0010850694444444198,0.0
0.025,2,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.03819444444444442,0.0
